Car_ID,Brand,Model,Year,Fuel_Type,Transmission,KM_Driven,Owner,Engine_CC,Mileage_KMPL,Max_Power_BHP,Seats,Seller_Type,Selling_Price_IDR,Vehicle_Age,KM_Per_Year
CAR00038,Renault,Duster,2021,CNG,Manual,74051,1,1498,20.3,60,5,Dealer,121538060,4,14810.2
CAR00039,Tata,Safari,2025,Petrol,Automatic,23061,1,1956,16.1,188,5,Individual,391809260,0,23061
CAR00040,Kia,Seltos,2019,Petrol,Manual,86216,2,1497,16.5,105,7,Individual,106815720,6,12316.57
CAR00041,Hyundai,Venue,2021,CNG,Manual,78533,3,1197,22.6,76,5,Dealer,88956860,4,15706.6
CAR00042,Volkswagen,Polo,2025,Petrol,Manual,21420,1,999,18.2,62,5,Individual,140493030,0,21420
CAR00043,Volkswagen,Vento,2018,Diesel,Manual,47343,1,1498,22.9,55,5,Individual,79449450,7,5917.88
CAR00044,Honda,Jazz,2024,Electric,Manual,29742,1,1199,16.2,56,5,Individual,123354460,1,14871
CAR00045,Maruti,Ertiga,2020,Diesel,Manual,123316,1,1462,23.8,67,5,Individual,92134230,5,20552.67
CAR00046,Skoda,Kushaq,2024,Petrol,Automatic,30185,1,1498,15.6,107,5,Dealer,267597520,1,15092.5
CAR00047,Toyota,Urban Cruiser,2019,Diesel,Automatic,78882,1,1462,23.2,60,5,Individual,100767640,6,11268.86
CAR00048,Renault,Duster,2021,Petrol,Manual,81115,2,1498,16.2,76,7,Individual,84939690,4,16223
CAR00049,Kia,Seltos,2017,Petrol,Manual,55144,1,1497,18.6,113,5,Individual,106757200,8,6127.11
CAR00050,Volkswagen,Virtus,2021,Petrol,Manual,46149,1,1498,14.3,120,7,Individual,183263360,4,9229.8
CAR00051,Volkswagen,Vento,2017,CNG,Manual,62474,1,1498,17.4,70,5,Individual,70193410,8,6941.56
CAR00052,Hyundai,i20,2021,Diesel,Manual,98631,1,1197,21,65,5,Individual,104663400,4,19726.2
CAR00053,Honda,WR-V,2023,Petrol,Manual,74977,1,1498,9.5,63,5,Individual,114598500,2,24992.33
CAR00054,Toyota,Urban Cruiser,2019,Petrol,Manual,65091,1,1462,13.9,78,5,Dealer,77989680,6,9298.71
CAR00055,Toyota,Innova,2019,Diesel,Automatic,110082,1,2393,21.6,138,5,Individual,150698690,6,15726
CAR00056,Maruti,Celerio,2017,CNG,Manual,125893,1,998,19.8,45,7,Individual,36482660,8,13988.11
CAR00057,Mahindra,Bolero,2022,Petrol,Manual,39754,2,1493,14.9,68,5,Individual,126233910,3,9938.5
CAR00058,Hyundai,Verna,2021,Petrol,Manual,32986,2,1497,22.1,85,5,Individual,125385370,4,6597.2
CAR00059,Volkswagen,Vento,2020,CNG,Manual,129753,1,1498,26.6,57,5,Dealer,79195420,5,21625.5
CAR00060,Kia,Sonet,2014,CNG,Manual,57966,1,1197,21,63,5,Individual,58991960,11,4830.5
CAR00061,Skoda,Slavia,2015,CNG,Manual,149702,1,1498,24.8,102,5,Individual,82465510,10,13609.27
CAR00062,Volkswagen,Taigun,2014,Petrol,Manual,113650,2,1498,22.1,76,5,Individual,60189150,11,9470.83
CAR00063,Honda,Jazz,2024,Petrol,Automatic,33238,2,1199,17.5,65,7,Individual,127447820,1,16619
CAR00064,Skoda,Slavia,2024,Petrol,Automatic,33533,1,1498,16,114,5,Individual,231756490,1,16766.5
CAR00065,Toyota,Glanza,2014,Petrol,Manual,87263,1,1197,17.8,67,7,Individual,37926090,11,7271.92
CAR00066,Honda,Jazz,2014,CNG,Manual,111276,1,1199,16.6,61,5,Dealer,33322770,11,9273
CAR00067,Skoda,Slavia,2023,Petrol,Manual,29166,1,1498,19.2,93,5,Dealer,242708660,2,9722
CAR00068,Honda,City,2020,Diesel,Manual,75501,1,1498,18.3,68,5,Individual,97984900,5,12583.5
CAR00069,Maruti,Swift,2017,CNG,Automatic,138685,1,1197,21.2,52,5,Individual,42611490,8,15409.44
CAR00070,Toyota,Urban Cruiser,2021,Electric,Manual,50126,1,1462,22.6,80,5,Individual,118545560,4,10025.2
CAR00071,Volkswagen,Virtus,2016,Diesel,Manual,114463,1,1498,16.8,90,5,Dealer,77824950,9,11446.3
CAR00072,Hyundai,Grand i10,2016,CNG,Automatic,180149,1,1197,20.9,45,5,Individual,29385970,9,18014.9
CAR00073,Toyota,Innova,2018,Petrol,Manual,122262,1,2393,13.4,140,7,Individual,133467210,7,15282.75
CAR00074,Hyundai,Verna,2024,Petrol,Manual,38588,2,1497,16.1,78,7,Individual,145226120,1,19294
CAR00075,Kia,Seltos,2023,Petrol,Manual,9960,1,1497,14.2,110,5,Individual,175741830,2,3320
CAR00076,Toyota,Fortuner,2016,Electric,Manual,144667,1,2755,19.9,266,5,Dealer,199217090,9,14466.7
CAR00077,Honda,Amaze,2020,CNG,Manual,82328,2,1199,14.2,55,5,Individual,64458070,5,13721.33
CAR00078,Tata,Nexon,2024,Petrol,Automatic,13958,1,1199,16.2,87,5,Individual,188832260,1,6979
CAR00079,Mahindra,Bolero,2025,Petrol,Manual,11847,1,1493,19,70,5,Individual,182957270,0,11847
CAR00080,Kia,Sonet,2023,Petrol,Manual,43671,1,1197,18,71,5,Dealer,159353950,2,14557
CAR00081,Skoda,Kushaq,2015,Petrol,Manual,66689,1,1498,20.8,116,5,Dealer,94850660,10,6062.64
CAR00082,Toyota,Glanza,2016,CNG,Manual,84639,3,1197,18.1,67,5,Individual,41381620,9,8463.9
CAR00083,Hyundai,i20,2016,Petrol,Manual,93244,1,1197,16.1,71,7,Individual,60412590,9,9324.4
CAR00084,Renault,Duster,2015,Diesel,Automatic,149022,1,1498,22.1,68,5,Individual,47579420,10,13547.45
CAR00085,Kia,Sonet,2016,Diesel,Manual,92346,1,1197,19,74,5,Dealer,60497520,9,9234.6
CAR00086,Volkswagen,Vento,2017,Petrol,Manual,97711,3,1498,18.1,59,5,Dealer,50488890,8,10856.78
CAR00087,Maruti,Ertiga,2020,Petrol,Manual,96032,2,1462,23.8,86,5,Individual,68543070,5,16005.33
CAR00088,Honda,City,2018,Electric,Manual,52280,1,1498,21.7,74,5,Individual,87443510,7,6535
CAR00089,Volkswagen,Polo,2019,Diesel,Manual,93197,1,999,17.8,45,5,Individual,66519570,6,13313.86
CAR00090,Renault,Duster,2016,Petrol,Automatic,127438,1,1498,14.5,66,5,Individual,50792510,9,12743.8
CAR00091,Toyota,Urban Cruiser,2015,Petrol,Manual,140366,1,1462,16.6,65,5,Dealer,60824890,10,12760.55
CAR00092,Renault,Duster,2025,CNG,Automatic,13224,1,1498,24.1,46,5,Dealer,150588490,0,13224
CAR00093,Renault,Kwid,2021,CNG,Automatic,39949,1,999,22.7,45,5,Individual,60750220,4,7989.8
CAR00094,Honda,WR-V,2016,Diesel,Manual,168973,1,1498,23.6,73,5,Dealer,39991010,9,16897.3
CAR00095,Renault,Duster,2023,Diesel,Manual,24515,2,1498,20.4,74,7,Dealer,147454060,2,8171.67
CAR00096,Tata,Punch,2023,CNG,Automatic,26312,1,1199,14.3,63,5,Individual,135533080,2,8770.67
CAR00097,Tata,Harrier,2025,Petrol,Automatic,25727,1,1956,19.4,149,5,Individual,317574930,0,25727
CAR00098,Kia,Seltos,2015,Diesel,Manual,100924,3,1497,19.6,91,5,Dealer,57873810,10,9174.91
CAR00099,Kia,Carens,2021,Petrol,Manual,73361,1,1497,17.5,90,5,Individual,134691380,4,14672.2
CAR00100,Hyundai,Creta,2025,Diesel,Manual,20834,1,1497,23,104,7,Dealer,253420100,0,20834
CAR00101,Renault,Duster,2023,Electric,Automatic,57582,1,1498,21.7,73,5,Individual,129372140,2,19194
CAR00102,Hyundai,Grand i10,2016,Electric,Automatic,129294,1,1197,24.2,45,5,Dealer,37316570,9,12929.4
CAR00103,Renault,Kwid,2024,Petrol,Automatic,17045,1,999,14.3,45,5,Individual,91807620,1,8522.5
CAR00104,Maruti,Dzire,2019,Diesel,Manual,106207,1,1197,14.7,56,5,Individual,55437440,6,15172.43
CAR00105,Volkswagen,Polo,2019,CNG,Manual,61312,1,999,19.2,58,7,Dealer,59765830,6,8758.86
CAR00106,Volkswagen,Taigun,2020,Electric,Automatic,64879,1,1498,21.6,115,5,Individual,133192280,5,10813.17
CAR00107,Volkswagen,Virtus,2023,Diesel,Manual,49565,2,1498,20.9,96,5,Individual,159411710,2,16521.67
CAR00108,Kia,Carens,2015,Petrol,Automatic,154668,1,1497,14.2,86,7,Individual,68180550,10,14060.73
CAR00109,Toyota,Fortuner,2020,Petrol,Manual,51589,1,2755,22,216,5,Individual,346352520,5,8598.17
CAR00110,Volkswagen,Vento,2023,CNG,Automatic,20833,1,1498,18.1,74,5,Individual,144723570,2,6944.33
CAR00111,Tata,Harrier,2020,Diesel,Automatic,75172,1,1956,19,143,5,Individual,200797320,5,12528.67
CAR00112,Volkswagen,Taigun,2017,Diesel,Manual,70488,1,1498,19.3,103,5,Individual,90605300,8,7832
CAR00113,Mahindra,Bolero,2014,Diesel,Manual,142636,1,1493,20.2,88,5,Individual,46459560,11,11886.33
CAR00114,Toyota,Innova,2020,Petrol,Automatic,66132,1,2393,18.9,137,5,Individual,188132870,5,11022
CAR00115,Mahindra,XUV700,2022,Petrol,Manual,49170,1,1997,24.3,144,5,Dealer,327031420,3,12292.5
CAR00116,Mahindra,XUV700,2020,Diesel,Automatic,69193,1,1997,17.5,158,5,Individual,220484360,5,11532.17
CAR00117,Maruti,Baleno,2025,Petrol,Manual,11779,2,1197,18.4,55,5,Dealer,126966740,0,11779
CAR00118,Hyundai,Venue,2021,Diesel,Manual,73949,1,1197,19,84,5,Individual,109890870,4,14789.8
CAR00119,Tata,Safari,2020,Diesel,Manual,74821,2,1956,22.2,163,5,Individual,175795980,5,12470.17
CAR00120,Hyundai,i20,2014,CNG,Automatic,238653,1,1197,22.3,72,5,Individual,27786360,11,19887.75
CAR00121,Toyota,Urban Cruiser,2020,Petrol,Automatic,84299,1,1462,18.2,78,5,Individual,108257630,5,14049.83
CAR00122,Kia,Sonet,2016,Diesel,Automatic,98939,1,1197,14.8,89,5,Individual,77256850,9,9893.9
CAR00123,Kia,Sonet,2022,Petrol,Automatic,45396,2,1197,16.1,64,5,Dealer,144676640,3,11349
CAR00124,Toyota,Glanza,2015,Petrol,Manual,152723,1,1197,14.6,69,5,Individual,38252700,10,13883.91
CAR00125,Renault,Kwid,2024,Petrol,Automatic,28711,3,999,16.2,45,7,Individual,91746060,1,14355.5
CAR00126,Mahindra,Thar,2017,Petrol,Manual,149544,1,1997,15,115,5,Dealer,97408250,8,16616
CAR00127,Maruti,Baleno,2019,CNG,Manual,65664,1,1197,19.4,46,7,Individual,61298180,6,9380.57
CAR00128,Volkswagen,Taigun,2015,CNG,Manual,180976,2,1498,19.8,110,5,Dealer,60601640,10,16452.36
CAR00129,Mahindra,Thar,2016,Petrol,Manual,105721,3,1997,16.3,129,5,Individual,78647270,9,10572.1
CAR00130,Kia,Sonet,2025,CNG,Automatic,23551,2,1197,20.1,53,7,Individual,168747360,0,23551
CAR00131,Mahindra,XUV700,2017,Petrol,Manual,98606,1,1997,14.7,170,5,Individual,147830640,8,10956.22
CAR00132,Mahindra,XUV700,2020,Diesel,Automatic,103486,2,1997,19.4,109,5,Individual,153769850,5,17247.67
CAR00133,Maruti,Dzire,2025,CNG,Automatic,18950,1,1197,18.3,45,5,Individual,160224910,0,18950
CAR00134,Mahindra,XUV500,2021,Diesel,Manual,43032,2,2179,17.5,97,5,Dealer,158782240,4,8606.4
CAR00135,Volkswagen,Taigun,2014,Petrol,Manual,82396,3,1498,17.3,126,5,Individual,54247850,11,6866.33
CAR00136,Honda,City,2018,Petrol,Manual,61389,1,1498,9.8,79,5,Dealer,100358760,7,7673.62
CAR00137,Kia,Sonet,2018,Petrol,Manual,85470,1,1197,25,78,7,Individual,81455850,7,10683.75
CAR00138,Maruti,Brezza,2017,CNG,Automatic,114086,1,1462,22.6,62,5,Individual,77160900,8,12676.22
CAR00139,Honda,City,2016,Diesel,Manual,84880,3,1498,20.3,78,5,Individual,71789030,9,8488
CAR00140,Toyota,Urban Cruiser,2020,Petrol,Manual,67846,2,1462,15.9,73,7,Dealer,114044650,5,11307.67
CAR00141,Skoda,Kushaq,2018,Petrol,Manual,118169,2,1498,17.8,127,5,Individual,92087680,7,14771.12
CAR00142,Tata,Nexon,2017,CNG,Manual,158098,3,1199,17.4,70,7,Dealer,56643370,8,17566.44
CAR00143,Tata,Harrier,2018,Petrol,Manual,140695,1,1956,19,115,5,Individual,108242050,7,17586.88
CAR00144,Toyota,Glanza,2018,Diesel,Manual,52974,2,1197,14.2,68,5,Dealer,73188570,7,6621.75
CAR00145,Skoda,Slavia,2016,Diesel,Manual,177482,1,1498,15.5,102,5,Dealer,56412330,9,17748.2
CAR00146,Renault,Triber,2019,Petrol,Automatic,92205,1,999,15.4,60,7,Dealer,66826040,6,13172.14
CAR00147,Maruti,Dzire,2025,Petrol,Manual,11119,1,1197,22,55,5,Individual,124510420,0,11119
CAR00148,Tata,Tiago,2020,Petrol,Manual,95392,1,1199,14.2,45,7,Individual,56476550,5,15898.67
CAR00149,Renault,Duster,2021,Petrol,Manual,83442,1,1498,18.5,52,5,Dealer,105025350,4,16688.4
CAR00150,Maruti,Dzire,2025,Diesel,Manual,4387,2,1197,13.1,60,5,Individual,138945290,0,4387
CAR00151,Renault,Kwid,2021,Diesel,Manual,48969,1,999,19.4,45,5,Individual,55821050,4,9793.8
CAR00152,Tata,Harrier,2016,Petrol,Automatic,95688,2,1956,22.7,105,5,Dealer,98114860,9,9568.8
CAR00153,Skoda,Kushaq,2018,Diesel,Manual,62318,1,1498,20.8,116,5,Dealer,118425860,7,7789.75
CAR00154,Tata,Tiago,2019,Petrol,Manual,110338,2,1199,11.3,57,5,Individual,43386880,6,15762.57
CAR00155,Toyota,Urban Cruiser,2019,Petrol,Manual,125396,1,1462,17.6,85,5,Dealer,83986270,6,17913.71
CAR00156,Kia,Carens,2015,Diesel,Manual,129289,2,1497,17.9,133,5,Individual,79378580,10,11753.55
CAR00157,Hyundai,i10,2015,Diesel,Manual,138618,1,1197,23,45,5,Individual,30074150,10,12601.64
CAR00158,Mahindra,XUV500,2018,Diesel,Automatic,90339,1,2179,19,101,5,Individual,122910810,7,11292.38
CAR00159,Mahindra,XUV500,2024,Petrol,Automatic,44118,1,2179,13.2,102,5,Dealer,216696330,1,22059
CAR00160,Volkswagen,Virtus,2022,Diesel,Manual,64472,1,1498,18.9,103,5,Dealer,176266990,3,16118
CAR00161,Skoda,Kushaq,2024,Petrol,Automatic,20760,1,1498,15.4,101,5,Dealer,271256920,1,10380
CAR00162,Kia,Seltos,2016,Electric,Manual,140158,1,1497,16,61,5,Individual,67613020,9,14015.8
CAR00163,Toyota,Fortuner,2018,Diesel,Manual,91247,1,2755,18.8,298,7,Dealer,248226830,7,11405.88
CAR00164,Toyota,Urban Cruiser,2020,CNG,Automatic,59707,2,1462,21,58,5,Individual,105446960,5,9951.17
CAR00165,Toyota,Fortuner,2019,Petrol,Manual,70599,1,2755,18.6,273,7,Individual,256843520,6,10085.57
CAR00166,Renault,Kwid,2019,Petrol,Manual,132758,1,999,20.6,45,5,Dealer,45207080,6,18965.43
CAR00167,Honda,Jazz,2018,Diesel,Manual,56206,1,1199,18.5,59,5,Dealer,68054580,7,7025.75
CAR00168,Hyundai,Creta,2014,Petrol,Automatic,125510,1,1497,13,95,5,Dealer,75094650,11,10459.17
CAR00169,Honda,Amaze,2024,Diesel,Manual,38043,1,1199,16.8,57,5,Dealer,125929910,1,19021.5
CAR00170,Maruti,Swift,2025,Petrol,Automatic,15301,1,1197,17.4,53,5,Individual,146261240,0,15301
CAR00171,Hyundai,Grand i10,2014,Electric,Manual,126624,1,1197,26.1,51,5,Individual,23094500,11,10552
CAR00172,Maruti,Dzire,2018,Petrol,Automatic,101702,1,1197,17.5,52,5,Dealer,67391480,7,12712.75
CAR00173,Volkswagen,Virtus,2020,CNG,Manual,78680,1,1498,20.6,89,5,Individual,154210460,5,13113.33
CAR00174,Volkswagen,Vento,2023,Petrol,Manual,28043,1,1498,16.8,56,5,Dealer,140269400,2,9347.67
CAR00175,Kia,Seltos,2025,Petrol,Manual,13109,1,1497,17.5,111,5,Individual,254479540,0,13109
CAR00176,Toyota,Innova,2018,Diesel,Manual,114560,1,2393,25,135,5,Individual,145020350,7,14320
CAR00177,Volkswagen,Polo,2022,Petrol,Manual,38432,2,999,17.2,49,5,Dealer,86505670,3,9608
CAR00178,Hyundai,Venue,2025,Electric,Manual,31007,1,1197,21.7,66,5,Dealer,182060660,0,31007
CAR00179,Skoda,Rapid,2023,CNG,Manual,48320,1,1498,21.1,62,5,Individual,128857240,2,16106.67
CAR00180,Mahindra,Scorpio,2017,Electric,Manual,51591,1,2179,20.5,105,5,Individual,109023710,8,5732.33
CAR00181,Skoda,Octavia,2023,Electric,Automatic,51274,2,1984,17.8,174,5,Individual,344159730,2,17091.33
CAR00182,Hyundai,Verna,2018,Diesel,Manual,85475,1,1497,14.1,89,7,Individual,82422950,7,10684.38
CAR00183,Toyota,Glanza,2014,Petrol,Manual,180439,1,1197,15.3,59,5,Dealer,35457990,11,15036.58
CAR00184,Kia,Carens,2023,CNG,Manual,54561,2,1497,24.5,81,5,Individual,158074680,2,18187
CAR00185,Toyota,Urban Cruiser,2024,Petrol,Manual,31463,1,1462,21,82,5,Individual,146346550,1,15731.5
CAR00186,Toyota,Glanza,2018,CNG,Manual,92352,1,1197,17.7,68,5,Dealer,55467080,7,11544
CAR00187,Hyundai,i10,2019,Petrol,Automatic,64560,1,1197,17,45,5,Dealer,45838070,6,9222.86
CAR00188,Honda,City,2018,Diesel,Manual,63592,1,1498,19.7,81,7,Individual,98009600,7,7949
CAR00189,Tata,Tiago,2015,Petrol,Manual,78777,2,1199,15.3,59,5,Dealer,33761480,10,7161.55
CAR00190,Honda,Amaze,2025,Petrol,Manual,8877,1,1199,21.4,61,5,Individual,130294210,0,8877
CAR00191,Kia,Carens,2014,Petrol,Manual,90434,1,1497,19.8,145,5,Individual,83373900,11,7536.17
CAR00192,Kia,Carens,2020,Petrol,Manual,91725,1,1497,18.6,123,5,Dealer,133076760,5,15287.5
CAR00193,Kia,Sonet,2014,Petrol,Automatic,125979,3,1197,17.7,85,5,Individual,48657860,11,10498.25
CAR00194,Honda,City,2022,Petrol,Manual,20433,1,1498,12.8,74,5,Dealer,136825840,3,5108.25
CAR00195,Skoda,Kushaq,2024,Petrol,Manual,29612,1,1498,21.6,92,5,Individual,218996090,1,14806
CAR00196,Maruti,Wagon R,2021,Diesel,Automatic,7965,2,1197,21,45,5,Dealer,68350410,4,1593
CAR00197,Honda,WR-V,2021,Petrol,Automatic,72040,1,1498,18.7,65,5,Individual,110791280,4,14408
CAR00198,Hyundai,i10,2023,CNG,Automatic,43550,2,1197,18.8,45,5,Individual,72169220,2,14516.67
CAR00199,Honda,Jazz,2025,Petrol,Automatic,17640,2,1199,15.5,59,5,Dealer,163456620,0,17640
CAR00200,Skoda,Octavia,2024,Diesel,Manual,27235,1,1984,20.8,171,5,Dealer,401608320,1,13617.5
CAR00201,Honda,Amaze,2016,Petrol,Manual,85863,2,1199,20.8,51,5,Dealer,38367270,9,8586.3
CAR00202,Skoda,Kushaq,2020,Diesel,Automatic,63938,3,1498,24.5,114,5,Individual,129759360,5,10656.33
CAR00203,Toyota,Urban Cruiser,2023,Diesel,Automatic,63146,1,1462,17.1,66,5,Individual,121593160,2,21048.67
CAR00204,Kia,Carens,2017,Diesel,Manual,99587,1,1497,18.8,104,5,Individual,100829010,8,11065.22
CAR00205,Toyota,Glanza,2022,Petrol,Manual,42086,2,1197,11.2,50,5,Individual,101582170,3,10521.5
CAR00206,Tata,Altroz,2014,Petrol,Automatic,131411,1,1199,10.1,60,5,Individual,43519880,11,10950.92
CAR00207,Volkswagen,Taigun,2024,Petrol,Manual,35182,1,1498,19.1,108,5,Dealer,230061500,1,17591
CAR00208,Skoda,Octavia,2021,Petrol,Manual,61183,1,1984,14.9,153,5,Individual,220244010,4,12236.6
CAR00209,Tata,Altroz,2022,Petrol,Manual,47634,2,1199,11.6,60,7,Individual,96934390,3,11908.5
CAR00210,Volkswagen,Polo,2023,Diesel,Manual,39844,2,999,15.8,55,5,Dealer,108434710,2,13281.33
CAR00211,Tata,Nexon,2016,Petrol,Manual,60140,3,1199,18.5,72,5,Dealer,63827840,9,6014
CAR00212,Volkswagen,Polo,2019,Diesel,Manual,70383,1,999,20.5,53,5,Individual,68602540,6,10054.71
CAR00213,Volkswagen,Vento,2024,Petrol,Manual,44670,3,1498,12.6,70,5,Dealer,101215660,1,22335
CAR00214,Toyota,Glanza,2015,Petrol,Manual,118301,1,1197,21.2,60,5,Dealer,45305500,10,10754.64
CAR00215,Volkswagen,Virtus,2023,Petrol,Manual,22607,1,1498,15.4,118,5,Individual,207420340,2,7535.67
CAR00216,Tata,Punch,2017,Petrol,Manual,119810,1,1199,18.3,52,5,Dealer,47610200,8,13312.22
CAR00217,Maruti,Ertiga,2020,Diesel,Manual,70547,1,1462,19.4,75,7,Dealer,112610340,5,11757.83
CAR00218,Maruti,Brezza,2020,CNG,Automatic,84080,1,1462,21,64,7,Dealer,96306630,5,14013.33
CAR00219,Toyota,Innova,2022,Diesel,Manual,48395,1,2393,16.5,141,5,Individual,244550140,3,12098.75
CAR00220,Skoda,Kushaq,2024,Petrol,Manual,36211,1,1498,17.4,109,7,Individual,234227630,1,18105.5
CAR00221,Hyundai,Creta,2018,Petrol,Manual,71653,1,1497,18.3,83,5,Dealer,115941230,7,8956.62
CAR00222,Toyota,Urban Cruiser,2016,CNG,Manual,75778,1,1462,20.4,79,5,Individual,57319960,9,7577.8
CAR00223,Volkswagen,Virtus,2019,Petrol,Manual,105689,1,1498,17.8,134,5,Individual,111369640,6,15098.43
CAR00224,Tata,Tiago,2021,Petrol,Automatic,23591,1,1199,20.8,46,5,Individual,98212140,4,4718.2
CAR00225,Volkswagen,Taigun,2023,CNG,Manual,36357,1,1498,19.6,93,5,Dealer,240697130,2,12119
CAR00226,Honda,Amaze,2023,Petrol,Manual,40414,1,1199,19.5,54,5,Individual,116173980,2,13471.33
CAR00227,Renault,Kwid,2018,Petrol,Automatic,40263,1,999,16.9,45,5,Dealer,52944260,7,5032.88
CAR00228,Mahindra,Thar,2025,Petrol,Manual,26019,3,1997,21.8,102,5,Individual,209272460,0,26019
CAR00229,Mahindra,XUV500,2014,Diesel,Manual,85650,3,2179,15.1,107,5,Dealer,62963150,11,7137.5
CAR00230,Hyundai,Creta,2015,Petrol,Manual,60350,1,1497,21.4,75,7,Individual,80002160,10,5486.36
CAR00231,Toyota,Innova,2014,Diesel,Automatic,102167,1,2393,17.7,145,5,Dealer,108073710,11,8513.92
CAR00232,Renault,Duster,2025,Petrol,Manual,7148,1,1498,23.8,82,5,Dealer,155821470,0,7148
CAR00233,Maruti,Wagon R,2016,Petrol,Manual,94031,2,1197,18.8,49,5,Individual,36784950,9,9403.1
CAR00234,Volkswagen,Polo,2021,Petrol,Automatic,67631,1,999,20.1,63,5,Individual,65435050,4,13526.2
CAR00235,Toyota,Fortuner,2023,CNG,Automatic,35856,2,2755,20.5,224,5,Dealer,539646550,2,11952
